case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
parking,dynamic,2012,implicit_Euler,101,4.002301586198434,1000,53.60699987411499
parking,dynamic,2017,implicit_Euler,101,3.995830821469016,1000,27.231000185012817
parking,dynamic,2017 penetration,implicit_Euler,101,1.0945864957998819,409,7.789000034332275
parking,dynamic,2023,implicit_Euler,101,3.9991567671689716,317,16.532000064849854
parking,cinematic,2012,Runge_Kutta,101,3.9982986517109746,1000,69.31299996376038
parking,cinematic,2017,Runge_Kutta,101,3.997464438706688,173,45.88699984550476
parking,cinematic,2017 penetration,Runge_Kutta,101,1.352759949233831,251,7.55400013923645
parking,cinematic,2023,Runge_Kutta,101,3.999989446361126,308,177.41299986839294
parking,dynamic,2012,Runge_Kutta,101,1.0983282538897323,299,15.003000020980835
parking,dynamic,2017,Runge_Kutta,101,3.9993864384016624,1000,42.342000007629395
parking,dynamic,2017 penetration,Runge_Kutta,101,1.0983328253463256,399,12.891999959945679
parking,dynamic,2023,Runge_Kutta,101,3.9999999997917817,242,13.914000034332275
parking,cinematic,2012,Crank_Nicolson,101,3.9957465594473334,1000,40.526999950408936
parking,cinematic,2017,Crank_Nicolson,101,3.993537040495105,280,84.91400003433228
parking,cinematic,2017 penetration,Crank_Nicolson,101,1.3495695640226073,308,5.813999891281128
parking,cinematic,2023,Crank_Nicolson,101,3.9999772559921287,410,13.835999965667725
parking,dynamic,2012,Crank_Nicolson,101,4.199993615618822,1000,37.157999992370605
parking,dynamic,2017,Crank_Nicolson,101,3.999058303751211,1000,27.605000019073486
parking,dynamic,2017 penetration,Crank_Nicolson,101,1.0945864957998819,428,8.675000190734863
parking,dynamic,2023,Crank_Nicolson,101,4.000000015039959,362,15.464999914169312
parking,cinematic,2012,RadauIIA-2,101,3.9981947435157688,1000,37.75399994850159
parking,cinematic,2017,RadauIIA-2,101,3.9955060164499967,453,79.94900012016296
parking,cinematic,2017 penetration,RadauIIA-2,101,1.3506545938002261,306,6.664000034332275
parking,cinematic,2023,RadauIIA-2,101,4.000000039777905,276,9.566999912261963
parking,dynamic,2012,RadauIIA-2,101,3.9999881535537813,1000,49.069000005722046
parking,dynamic,2017,RadauIIA-2,101,1.0968683789119114,1000,24.29199981689453
parking,dynamic,2017 penetration,RadauIIA-2,101,1.0957528711771247,433,9.207000017166138
parking,dynamic,2023,RadauIIA-2,101,4.000000039758384,353,14.64299988746643
poly-field-3,cinematic,2012,implicit_Euler,51,6.097682676305585,635,30.996000051498413
poly-field-3,cinematic,2017,implicit_Euler,51,7.622210847931063,184,4.4150002002716064
poly-field-3,cinematic,2017 penetration,implicit_Euler,51,9347.775647161538,1000,25.328999996185303
poly-field-3,cinematic,2023,implicit_Euler,51,6.109390516647113,143,4.5920000076293945
poly-field-3,dynamic,2012,implicit_Euler,51,6844.620126624384,1000,48.49799990653992
poly-field-3,dynamic,2017,implicit_Euler,51,3.325502442969402,112,2.4519999027252197
poly-field-3,dynamic,2017 penetration,implicit_Euler,51,3.8840737867431763,208,4.927000045776367
poly-field-3,dynamic,2023,implicit_Euler,51,3.1049597862740317,100,3.051999807357788
poly-field-3,cinematic,2012,Runge_Kutta,51,6.09670315139563,94,3.447000026702881
